,0,1,2,3,4,c_m,o_m,c_c,c_h,c_o,o_h,5,6,7,8,9,10,11,12,13,14,15
35,Pt,CH3CH,4.336672,0.808692,1.84181,1,0,1,4,0,0,63.056026251959594,13.895477108014946,0.0,0.0,0.0,0.0,0.0,-0.046990653924301885,-0.06183670023555126,-0.29159294875755226,-0.8348726582051819
36,Pt,CH3CH2,4.336672,0.808692,1.84181,1,0,1,5,0,0,63.448438474454974,14.323703066858116,0.012290257448486594,0.0,0.0,0.0,0.0,-0.0604579639676674,-0.1312789056128483,-0.4656189616013048,-0.9108655687278248
37,Pt,CH3CH2CO,4.336672,0.808692,1.84181,1,1,2,5,1,0,120.70513742336064,41.84071501130306,17.795495762618028,7.882159860024997,0.0014067653824443435,0.0,0.0,-0.06587103141613179,-0.13392225642581032,-0.4895264352174626,-0.944584781541748
38,Pt,CH3CH2COO,4.336672,0.808692,1.84181,0,2,2,5,2,0,154.01419616325933,46.78229023136589,41.10381245373264,15.287058827009867,4.605267161923059,0.0018814309502328524,0.0,-0.0675362827391198,-0.1373037907978696,-0.5167465665037404,-0.9652145903019478
39,Pt,CH3CH2COOH,4.336672,0.808692,1.84181,0,0,2,5,2,1,154.49099477310932,46.80526060283829,41.08662330800687,15.662799573815125,4.733882936578854,-0.0003360034469991452,-0.0689357778893501,-0.13759608865563336,-0.4530273237223911,-0.5403126211097924,-0.97164834162589
40,Pt,CH3CH3,4.336672,0.808692,1.84181,0,0,1,6,0,0,63.783605333337796,14.765959645524507,0.007597039381704815,0.006450565130294647,0.0,0.0,0.0,-0.1336441726048847,-0.13406320997339902,-0.5656379704690939,-1.0140568314749872
41,Pt,CH3CHCO,4.336672,0.808692,1.84181,2,0,2,4,1,0,121.92605518995586,42.475572942585245,16.799517622936403,6.204471947218076,0.0,0.0,0.0,-0.05590117455354049,-0.06554964110994697,-0.3214432832576881,-0.8717132856864152
42,Pt,CH3CHCOO,4.336672,0.808692,1.84181,1,2,2,4,2,0,152.88033042536568,46.33003660214554,41.817395743651744,15.237657910392013,4.714173771200769,0.0,0.0,-0.05824989039492446,-0.06582575097826096,-0.3604751250510603,-0.8873386484330837
43,Pt,CH3CHCOOH,4.336672,0.808692,1.84181,1,0,2,4,2,1,154.12309069438032,46.78550360400033,40.77444311107066,15.560716727919269,4.690167866163382,0.0,-0.053291309913695656,-0.0690663132162214,-0.3250551990649102,-0.5007193344169749,-0.8780848090236579
44,Pt,CHCH,4.336672,0.808692,1.84181,2,0,1,2,0,0,63.83555035443178,11.619459197282813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19255801272866008,-0.5462411401341031
